branches,branch misses,LLC,LLC misses,branch miss rate,LLC miss rate,type
220495454,5323721,29690763,9704768,0.024144,0.326862,1
207015766,5411719,29744694,9153041,0.026142,0.30772,1
208266593,5297188,30121088,8848973,0.025435,0.29378,1
209888736,5266528,27673864,8796389,0.025092,0.317859,1
197545529,5150387,27130526,9371592,0.026072,0.345426,1
208658101,5187428,30363919,8908398,0.024861,0.293388,1
208688370,5086743,28125828,8854321,0.024375,0.314811,1
209632792,5268214,27769964,8968523,0.025131,0.322958,1
201483208,4709011,29092417,9417993,0.023372,0.323727,1
220493519,5106371,29305560,9707169,0.023159,0.33124,1
194817051,5133796,30108730,8820600,0.026352,0.292958,1
442409061,7804212,32095770,11157332,0.01764,0.347626,1
197054629,5161982,28928324,8583708,0.026196,0.296723,1
214005137,4846660,29961744,9029931,0.022647,0.301382,1
209579729,5030019,30019985,9005564,0.024001,0.299986,1
204787111,4717453,28389799,9291697,0.023036,0.32729,1
213786239,5113236,30301473,9628425,0.023918,0.317754,1
215125096,4999019,28829221,9327041,0.023238,0.323527,1
212256181,5118821,27561246,8924370,0.024116,0.323801,1
189691906,4644887,30602751,9131683,0.024486,0.298394,1
224637637,5272866,30630752,9638736,0.023473,0.314675,1
212035740,4999869,28995645,9861832,0.02358,0.340114,1
270894183,6022158,33462535,10662290,0.022231,0.318634,1
190306340,5158694,29697624,9008862,0.027107,0.303353,1
276739330,5150501,31220866,9618515,0.018611,0.30808,1
215356410,5203232,27720976,9208757,0.024161,0.332195,1
198161719,4705790,28870503,9115302,0.023747,0.315731,1
193791966,5369378,28167499,9114016,0.027707,0.323565,1
207698679,4779643,28355695,8994274,0.023012,0.317195,1
189715008,4542650,25951515,9063110,0.023945,0.349232,1
220864769,4756660,29661781,9846049,0.021537,0.331944,1
211035879,5238974,28587358,8295357,0.024825,0.290176,1
177141947,4295963,26989203,9197764,0.024252,0.340794,1
183501568,4732754,28218457,8848485,0.025791,0.313571,1
208964064,4511227,29761437,9483962,0.021589,0.318666,1
193205691,4919503,28419040,9304532,0.025463,0.327405,1
213507278,4590004,28370056,9509150,0.021498,0.335183,1
220577962,5013480,29981181,9590754,0.022729,0.319892,1
213832983,5349621,29269242,9214023,0.025018,0.314802,1
184821416,4739617,28669718,8836185,0.025644,0.308206,1
207823862,4793359,30187089,9314978,0.023065,0.308575,1
214116366,5273211,27869213,9296397,0.024628,0.333572,1
204899217,5081797,29444865,9175433,0.024801,0.311614,1
209393409,4507307,28311660,8819831,0.021526,0.311526,1
210496084,4780703,27778476,9260015,0.022712,0.333352,1
208603289,5431662,28070693,9613569,0.026038,0.342477,1
208443744,4757142,30223995,8653990,0.022822,0.286328,1
272779554,6033262,29627546,9534075,0.022118,0.321798,1
199418475,5185597,27038772,9064483,0.026004,0.33524,1
206573679,4508650,27302906,9093471,0.021826,0.333059,1
214263191,5193571,28380493,9762877,0.024239,0.344,1
220925085,5175522,30622891,10069999,0.023427,0.328839,1
207919257,4695893,27637633,9388505,0.022585,0.3397,1
210524914,5022362,29083540,8868513,0.023856,0.304932,1
216734560,4993836,28928433,8925878,0.023041,0.30855,1
216450401,5234799,28422413,9739032,0.024185,0.342653,1
492214257,8611114,32528370,11732499,0.017495,0.360685,1
